Nama;Satuan;Harga;Stok awal;Minimum;Isi;Satuan isi;Cakupan m2;Dipakai di area;Membersihkan objek;Bahaya;Catatan
Pembersih Lantai Serbaguna;botol;26000;60;15;1000;ml;800;semua;Lantai;Iritasi kulit / mata;wangi lemon
Pembersih Kaca;botol;29000;24;6;500;ml;50;;"Kaca;Cermin";Mengandung amonia;
Pembersih Toilet;botol;34000;36;10;500;ml;;;"Bilik;Urinoir";Korosif (asam / basa kuat);jangan dicampur pemutih
Pemutih Klorin;liter;22000;12;4;1000;ml;;Toilet;;Pemutih berbasis klorin;hanya untuk noda membandel
Pengharum Ruangan;botol;18000;20;6;300;ml;;"Toilet;Lobi;Mushola";;;
Sabun Cuci Tangan;galon;95000;8;3;5000;ml;;"Toilet;Pantry";;Iritasi kulit / mata;untuk isi ulang dispenser
Tisu Gulung;roll;6500;240;60;;;;Toilet;;;
Tisu Tangan Lipat;pak;21000;40;12;;;;Toilet;;;
Kantong Sampah 60x90;pak;19000;30;8;;;;semua;Tempat sampah;;
Kantong Sampah 90x120;pak;27000;15;5;;;;"Parkir;Taman";;;
Kain Lap Microfiber;pcs;12000;50;20;;;;semua;;;
Karbol Wangi;liter;24000;18;6;1000;ml;700;"Koridor;Lift;Lobi";Lantai;Iritasi kulit / mata;
