Lokasi;Alamat;Luas tanah;Area;Jenis area;Luas area;Bangunan;Lantai;Ruangan;Jenis ruangan;Luas ruangan;Objek;Jenis objek;Panjang;Lebar;Tinggi;Satuan ukuran;Jumlah;Takaran;Kali per minggu
Menara Cakrawala;Jl. Jenderal Sudirman Kav. 21;3500;Halaman & Drop-off;Taman;600;;;;;;Paving & Drop-off;Lantai / karpet;31;19.4;;m;;
Menara Cakrawala;;;Halaman & Drop-off;Taman;600;;;;;;Tanaman;Tanaman;;;;m;20;5
Menara Cakrawala;;;Halaman & Drop-off;Taman;600;;;;;;Tempat Sampah;Tempat sampah;;;;m;4;20
Menara Cakrawala;;;Parkir Basement;Parkir;900;;;;;;Lantai Parkir;Lantai / karpet;37.9;23.7;;m;;
Menara Cakrawala;;;Parkir Basement;Parkir;900;;;;;;Dinding Basement;Dinding;123.2;;2.8;m;;
Menara Cakrawala;;;Parkir Basement;Parkir;900;;;;;;Tempat Sampah;Tempat sampah;;;;m;3;20
Menara Cakrawala;;;Pos Satpam;Pos Security;12;;;;;;Lantai;Lantai / karpet;4.4;2.7;;m;;
Menara Cakrawala;;;Pos Satpam;Pos Security;12;;;;;;Kaca Pos;Kaca / jendela;1.5;;1.2;m;3;
Menara Cakrawala;;;Pos Satpam;Pos Security;12;;;;;;Meja Jaga;Meja;1.2;0.6;;m;1;
Menara Cakrawala;;;Pos Satpam;Pos Security;12;;;;;;Kursi;Kursi;;;;m;2;10
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 1;Lobi Utama;Lobi;180;Lantai;Lantai / karpet;17;10.6;;m;;;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 1;Lobi Utama;Lobi;180;Dinding;Dinding;55.2;;4.5;m;;;1
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 1;Lobi Utama;Lobi;180;Kaca Fasad;Kaca / jendela;3;;2.5;m;6;;1
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 1;Lobi Utama;Lobi;180;Meja Resepsionis;Meja;2.4;0.8;;m;1;;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 1;Lobi Utama;Lobi;180;Kursi Tunggu;Kursi;;;;m;6;10;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 1;Lobi Utama;Lobi;180;Tanaman Hias;Tanaman;;;;m;4;5;3
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 1;Lobi Utama;Lobi;180;Tempat Sampah;Tempat sampah;;;;m;2;20;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 1;Resepsionis;Lobi;24;Lantai;Lantai / karpet;6.2;3.9;;m;;;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 1;Resepsionis;Lobi;24;Dinding;Dinding;20.2;;4.5;m;;;1
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 1;Resepsionis;Lobi;24;Kaca Fasad;Kaca / jendela;3;;2.5;m;2;;1
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 1;Resepsionis;Lobi;24;Meja Resepsionis;Meja;2.4;0.8;;m;1;;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 1;Resepsionis;Lobi;24;Kursi Tunggu;Kursi;;;;m;6;10;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 1;Resepsionis;Lobi;24;Tanaman Hias;Tanaman;;;;m;4;5;3
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 1;Resepsionis;Lobi;24;Tempat Sampah;Tempat sampah;;;;m;2;20;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 1;Toilet Pria;Toilet;18;Lantai;Lantai / karpet;5.4;3.4;;m;;;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 1;Toilet Pria;Toilet;18;Dinding;Dinding;17.6;;3;m;;;1
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 1;Toilet Pria;Toilet;18;Kloset;Bilik / kloset;;;;m;3;50;7
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 1;Toilet Pria;Toilet;18;Wastafel;Wastafel;;;;m;2;20;7
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 1;Toilet Pria;Toilet;18;Urinoir;Urinoir;;;;m;2;30;7
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 1;Toilet Pria;Toilet;18;Cermin;Cermin;3;;1;m;;;7
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 1;Toilet Pria;Toilet;18;Dispenser Sabun;Dispenser / mesin;;;;m;1;15;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 1;Toilet Pria;Toilet;18;Tempat Sampah;Tempat sampah;;;;m;2;20;
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 1;Toilet Pria;Toilet;18;Pintu;Pintu;0.9;;2.1;m;1;;2
Menara Cakrawala;;;Gedung Utama;Bangunan;1200;Tower A;Lantai 1;Toilet Wanita;Toilet;18;Lantai;Lantai / karpet;5.4;3.4;;m;;;
